,b
django__django-16801,-4.0203022956848145
django__django-16819,-1.5049498081207275
django__django-16877,0.6324210166931152
django__django-16899,-1.6734596490859985
django__django-16901,-1.1688086986541748
django__django-16938,2.679084300994873
django__django-16950,3.016815423965454
django__django-17029,-3.806859016418457
django__django-17084,1.6848137378692627
django__django-17087,-0.7093102335929871
django__django-7530,-2.3674724102020264
django__django-9296,-4.3905158042907715
matplotlib__matplotlib-13989,-1.5428953170776367
matplotlib__matplotlib-14623,0.9482741355895996
matplotlib__matplotlib-20488,2.6330676078796387
matplotlib__matplotlib-20676,2.7580485343933105
matplotlib__matplotlib-20826,1.8586498498916626
matplotlib__matplotlib-20859,-1.050515055656433
matplotlib__matplotlib-21568,6.237947940826416
matplotlib__matplotlib-22719,-3.347578525543213
matplotlib__matplotlib-22865,1.1999759674072266
matplotlib__matplotlib-22871,1.5342068672180176
matplotlib__matplotlib-23299,3.8957910537719727
matplotlib__matplotlib-23314,-1.1037530899047852
matplotlib__matplotlib-23412,-1.7823829650878906
matplotlib__matplotlib-23476,5.190845012664795
matplotlib__matplotlib-24026,-1.5302382707595825
matplotlib__matplotlib-24149,-1.346217155456543
matplotlib__matplotlib-24177,4.78574275970459
matplotlib__matplotlib-24570,-1.3770835399627686
matplotlib__matplotlib-24627,0.07318874448537827
matplotlib__matplotlib-24637,-0.09892334043979645
matplotlib__matplotlib-24870,10.184149742126465
matplotlib__matplotlib-24970,-1.9079383611679077
matplotlib__matplotlib-25122,-2.5993030071258545
matplotlib__matplotlib-25287,-2.170790910720825
matplotlib__matplotlib-25311,0.6001023054122925
matplotlib__matplotlib-25332,0.33311575651168823
matplotlib__matplotlib-25479,9.943225860595703
matplotlib__matplotlib-25775,0.5714190006256104
matplotlib__matplotlib-25960,4.737525463104248
matplotlib__matplotlib-26113,-2.5994913578033447
matplotlib__matplotlib-26208,6.090183734893799
matplotlib__matplotlib-26291,0.4603970944881439
matplotlib__matplotlib-26342,-1.4707086086273193
matplotlib__matplotlib-26466,9.94431209564209
mwaskom__seaborn-3069,1.781318187713623
mwaskom__seaborn-3187,4.243218898773193
pallets__flask-5014,-3.8449294567108154
psf__requests-1142,0.08587606996297836
psf__requests-1724,-0.8380491137504578
psf__requests-1766,-1.6991386413574219
psf__requests-1921,-0.2698000371456146
psf__requests-2317,-0.9779502749443054
psf__requests-2931,1.4051185846328735
psf__requests-5414,-0.020660940557718277
psf__requests-6028,6.2014265060424805
pydata__xarray-2905,-0.06617516279220581
pydata__xarray-3095,0.13267454504966736
pydata__xarray-3151,-1.3900856971740723
pydata__xarray-3305,-1.2634761333465576
pydata__xarray-3677,-2.707948923110962
pydata__xarray-3993,1.0737565755844116
pydata__xarray-4075,-3.8677096366882324
pydata__xarray-4094,0.7540972828865051
pydata__xarray-4356,-2.688009738922119
pydata__xarray-4629,-4.877601146697998
pydata__xarray-4687,2.175114154815674
pydata__xarray-4695,0.9141346216201782
pydata__xarray-4966,-2.2166390419006348
pydata__xarray-6461,-1.4198887348175049
pydata__xarray-6599,1.319580078125
pydata__xarray-6721,0.6477110385894775
pydata__xarray-6744,0.43714654445648193
pydata__xarray-6938,3.677429437637329
pydata__xarray-6992,10.031116485595703
pydata__xarray-7229,9.799555778503418
pydata__xarray-7233,-2.197953701019287
pydata__xarray-7393,0.6524731516838074
pylint-dev__pylint-4551,10.128595352172852
pylint-dev__pylint-4604,10.010110855102539
pylint-dev__pylint-4661,10.35092544555664
pylint-dev__pylint-4970,2.7816762924194336
pylint-dev__pylint-6386,2.06132435798645
pylint-dev__pylint-6528,0.8699736595153809
pylint-dev__pylint-6903,-5.504410266876221
pylint-dev__pylint-7080,2.478978395462036
pylint-dev__pylint-7277,-1.821818470954895
pylint-dev__pylint-8898,3.4871017932891846
pytest-dev__pytest-10051,1.8625736236572266
pytest-dev__pytest-10081,-0.9434352517127991
pytest-dev__pytest-10356,9.839569091796875
pytest-dev__pytest-5262,-0.8935507535934448
pytest-dev__pytest-5631,-1.1976721286773682
pytest-dev__pytest-5787,2.224376916885376
pytest-dev__pytest-5809,-5.175272464752197
pytest-dev__pytest-5840,6.108051776885986
pytest-dev__pytest-6197,2.973935604095459
pytest-dev__pytest-6202,-4.419644355773926
pytest-dev__pytest-7205,-1.1684842109680176
pytest-dev__pytest-7236,-0.2675097584724426
pytest-dev__pytest-7324,2.1055710315704346
pytest-dev__pytest-7432,-1.0260978937149048
pytest-dev__pytest-7490,0.48864078521728516
pytest-dev__pytest-7521,-0.6085370182991028
pytest-dev__pytest-7571,-1.8618539571762085
pytest-dev__pytest-7982,-3.008449077606201
pytest-dev__pytest-8399,-3.8909199237823486
scikit-learn__scikit-learn-10297,-3.7935261726379395
scikit-learn__scikit-learn-10844,-5.506704330444336
scikit-learn__scikit-learn-10908,0.24668803811073303
scikit-learn__scikit-learn-11310,-2.299790859222412
scikit-learn__scikit-learn-11578,-3.8108625411987305
scikit-learn__scikit-learn-12585,-5.206485271453857
scikit-learn__scikit-learn-12682,0.32416123151779175
scikit-learn__scikit-learn-12973,-1.0262075662612915
scikit-learn__scikit-learn-13124,0.4360186457633972
scikit-learn__scikit-learn-13135,-1.9012234210968018
scikit-learn__scikit-learn-13142,-1.5596699714660645
scikit-learn__scikit-learn-13328,-2.971748113632202
scikit-learn__scikit-learn-13439,-3.2919209003448486
scikit-learn__scikit-learn-13496,-2.335888624191284
scikit-learn__scikit-learn-13779,-2.555469512939453
scikit-learn__scikit-learn-14053,-1.9754739999771118
scikit-learn__scikit-learn-14087,0.7029210925102234
scikit-learn__scikit-learn-14141,-3.7785463333129883
scikit-learn__scikit-learn-14496,-4.897120475769043
scikit-learn__scikit-learn-14629,3.1447036266326904
scikit-learn__scikit-learn-14710,-1.6001754999160767
scikit-learn__scikit-learn-14894,-4.294490814208984
scikit-learn__scikit-learn-14983,1.4616703987121582
scikit-learn__scikit-learn-15100,-3.7182209491729736
scikit-learn__scikit-learn-25102,1.5236951112747192
scikit-learn__scikit-learn-25232,-1.0376380681991577
scikit-learn__scikit-learn-25747,2.978367328643799
scikit-learn__scikit-learn-25931,-1.0245072841644287
scikit-learn__scikit-learn-25973,-0.8662753701210022
scikit-learn__scikit-learn-26194,4.711593151092529
scikit-learn__scikit-learn-26323,-1.9125629663467407
scikit-learn__scikit-learn-9288,-1.318703055381775
sphinx-doc__sphinx-10323,1.202187180519104
sphinx-doc__sphinx-10435,5.222492218017578
sphinx-doc__sphinx-10449,0.5183075666427612
sphinx-doc__sphinx-10466,-1.41390061378479
sphinx-doc__sphinx-10614,5.337265968322754
sphinx-doc__sphinx-10673,0.21801644563674927
sphinx-doc__sphinx-11445,1.337650179862976
sphinx-doc__sphinx-11510,10.404739379882812
sphinx-doc__sphinx-7440,-0.7513285279273987
sphinx-doc__sphinx-7454,1.1482715606689453
sphinx-doc__sphinx-7462,10.264727592468262
sphinx-doc__sphinx-7590,9.694893836975098
sphinx-doc__sphinx-7748,10.270326614379883
sphinx-doc__sphinx-7757,0.6621178388595581
sphinx-doc__sphinx-7889,-0.9662195444107056
sphinx-doc__sphinx-7910,-0.109733447432518
sphinx-doc__sphinx-7985,4.812430381774902
sphinx-doc__sphinx-8035,0.09147079288959503
sphinx-doc__sphinx-8056,3.4159271717071533
sphinx-doc__sphinx-8120,-0.5177299380302429
sphinx-doc__sphinx-8265,3.5990283489227295
sphinx-doc__sphinx-8269,-1.1308029890060425
sphinx-doc__sphinx-8459,0.5267102122306824
sphinx-doc__sphinx-8475,-1.3098114728927612
sphinx-doc__sphinx-8548,4.0752434730529785
sphinx-doc__sphinx-8551,1.5216790437698364
sphinx-doc__sphinx-8593,1.074668049812317
sphinx-doc__sphinx-8595,-1.7573142051696777
sphinx-doc__sphinx-8621,1.6833223104476929
sphinx-doc__sphinx-8638,4.924743175506592
sphinx-doc__sphinx-8721,-2.362086534500122
sphinx-doc__sphinx-9229,10.363618850708008
sphinx-doc__sphinx-9230,1.8077430725097656
sphinx-doc__sphinx-9258,1.9017072916030884
sphinx-doc__sphinx-9281,-0.5123137831687927
sphinx-doc__sphinx-9320,-2.5096068382263184
sphinx-doc__sphinx-9367,-2.773766279220581
sphinx-doc__sphinx-9461,10.123600959777832
sphinx-doc__sphinx-9591,1.724056601524353
sphinx-doc__sphinx-9602,4.357907295227051
sphinx-doc__sphinx-9658,1.5830315351486206
sphinx-doc__sphinx-9673,0.2526671886444092
sphinx-doc__sphinx-9698,-1.69695246219635
sphinx-doc__sphinx-9711,-1.869960904121399
sympy__sympy-11618,-1.8397730588912964
sympy__sympy-12096,-3.387110471725464
sympy__sympy-12419,0.34044593572616577
sympy__sympy-12481,-0.7072632312774658
sympy__sympy-12489,3.567409038543701
sympy__sympy-13031,1.7688696384429932
sympy__sympy-13091,2.573418617248535
sympy__sympy-13372,-1.9012283086776733
sympy__sympy-13480,-4.230280876159668
sympy__sympy-13551,1.490402340888977
sympy__sympy-13615,1.5221121311187744
sympy__sympy-13647,-1.8934537172317505
sympy__sympy-13757,0.8318265676498413
sympy__sympy-13798,4.050529956817627
sympy__sympy-13852,10.201292991638184
sympy__sympy-13877,1.8245947360992432
sympy__sympy-13878,0.529183030128479
sympy__sympy-13974,2.9551589488983154
sympy__sympy-14248,4.658057689666748
sympy__sympy-14531,-0.27061909437179565
sympy__sympy-14711,-2.335590124130249
sympy__sympy-14976,0.22961290180683136
sympy__sympy-15017,1.0244288444519043
sympy__sympy-15345,0.9187411665916443
sympy__sympy-15349,-1.1314038038253784
sympy__sympy-15599,2.3091206550598145
sympy__sympy-15809,-0.5984665155410767
sympy__sympy-15875,0.08054167032241821
sympy__sympy-15976,2.7507898807525635
sympy__sympy-16450,-1.9200862646102905
sympy__sympy-16597,10.155326843261719
sympy__sympy-16766,-3.6154680252075195
sympy__sympy-16792,0.11257019639015198
sympy__sympy-16886,-3.250859260559082
sympy__sympy-17139,-0.4519709050655365
sympy__sympy-17318,3.5758273601531982
sympy__sympy-17630,10.11192512512207
sympy__sympy-17655,-0.9052626490592957
sympy__sympy-18189,-1.1605221033096313
sympy__sympy-18199,10.059894561767578
sympy__sympy-18211,0.7465195655822754
sympy__sympy-18698,2.0037126541137695
sympy__sympy-18763,0.2693940997123718
sympy__sympy-19040,2.8802244663238525
sympy__sympy-19346,-1.8053550720214844
sympy__sympy-19495,0.2147950381040573
sympy__sympy-19637,-3.0100479125976562
sympy__sympy-19783,0.7716471552848816
sympy__sympy-19954,-1.927815318107605
sympy__sympy-20154,-1.6808885335922241
sympy__sympy-20428,9.999823570251465
sympy__sympy-20438,10.225214958190918
sympy__sympy-20590,0.4751861095428467
sympy__sympy-20801,-0.6883353590965271
sympy__sympy-20916,4.2956342697143555
sympy__sympy-21379,1.2310062646865845
sympy__sympy-21596,9.863451957702637
sympy__sympy-21612,4.7678751945495605
sympy__sympy-21847,-2.5095009803771973
sympy__sympy-21930,10.383543014526367
sympy__sympy-22080,6.2835493087768555
sympy__sympy-22456,-1.1950881481170654
sympy__sympy-22714,-1.8395090103149414
sympy__sympy-22914,-3.18084454536438
sympy__sympy-23262,-0.6521672010421753
sympy__sympy-23413,3.343956232070923
sympy__sympy-23534,-1.6090179681777954
sympy__sympy-23824,-1.848009705543518
sympy__sympy-23950,-0.9867753982543945
sympy__sympy-24066,-1.427100419998169
sympy__sympy-24213,-3.88386869430542
sympy__sympy-24443,-2.59203839302063
sympy__sympy-24539,-3.4482312202453613
sympy__sympy-24562,1.0553675889968872
sympy__sympy-24661,-1.3071244955062866
