,theta,theta_std
spoox-m_gpt-5-mini_at_openai,0.54818004,0.033755455
openhands_claude-opus-4-1-20250805_at_anthropic,0.54671407,0.028160736
mini-swe-agent_gpt-5_at_openai,0.5424853,0.03523729
terminus-2_gemini-2_5-pro_at_gemini,0.5278687,0.032662954
codex_gpt-5-mini_at_openai,0.51103693,0.026966944
terminus-2_minimax-m2_1_at_openai,0.495092,0.04680153
openhands_gpt-5-mini_at_openai,0.49064943,0.031450376
goose_claude-haiku-4-5_at_anthropic,0.4794265,0.026762413
terminus-2_moonshotai/kimi-k2-thinking_at_together_ai,0.46549895,0.027817063
claude-code_claude-haiku-4-5-20251001_at_anthropic,0.46063775,0.032592375
openhands_grok-4-0709_at_xai,0.45537508,0.03651809
mini-swe-agent_grok-code-fast-1_at_xai,0.44706544,0.043029044
terminus-2_claude-haiku-4-5-20251001_at_anthropic,0.44182163,0.031869207
terminus-2_accounts/fireworks/models/minimax-m2_at_fireworks_ai,0.42647973,0.03422548
mini-swe-agent_claude-haiku-4-5-20251001_at_anthropic,0.42352906,0.027602432
mini-swe-agent_grok-4-0709_at_xai,0.42225084,0.032346934
mini-swe-agent_gemini-2_5-pro_at_gemini,0.40202808,0.046883963
openhands_moonshotai/kimi-k2-instruct-0905_at_together_ai,0.3923603,0.033220973
aone-agent_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_modelscope,0.38992748,0.032445405
openhands_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_together_ai,0.36381358,0.035779543
terminus-2_moonshotai/kimi-k2-instruct-0905_at_together_ai,0.3316274,0.048458412
terminus-2_grok-4-0709_at_xai,0.33123064,0.030559227
terminus-2_gpt-5-mini_at_openai,0.32374665,0.028831216
terminus-2_accounts/fireworks/models/glm-4p6_at_fireworks_ai,0.31618127,0.036965605
terminus-2_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_together_ai,0.31066874,0.035064213
mini-swe-agent_gpt-5-mini_at_openai,0.26811966,0.037925143
gemini-cli_gemini-2_5-pro_at_gemini,0.2618377,0.042646833
mini-swe-agent_gemini-2_5-flash_at_gemini,0.24276221,0.059646577
openhands_gemini-2_5-pro_at_gemini,0.21010932,0.041096345
terminus-2_openai/gpt-oss-120b_at_together_ai,0.17172514,0.0372338
terminus-2_gemini-2_5-flash_at_gemini,0.16996431,0.037523888
gemini-cli_gemini-2_5-flash_at_gemini,0.15822992,0.05300798
openhands_claude-haiku-4-5-20251001_at_anthropic,0.14708526,0.045798194
openhands_gemini-2_5-flash_at_gemini,0.117411606,0.040426422
terminus-2_grok-code-fast-1_at_xai,0.09708165,0.044266842
codex_gpt-5-nano_at_openai,0.0607948,0.042648092
mini-swe-agent_openai/gpt-oss-120b_at_together_ai,0.023131225,0.06094787
openhands_gpt-5-nano_at_openai,-0.089009136,0.048202835
terminus-2_gpt-5-nano_at_openai,-0.13549796,0.04590815
mini-swe-agent_gpt-5-nano_at_openai,-0.16544548,0.047451243
terminus-2_openai/gpt-oss-20b_at_together_ai,-0.2996117,0.09075993
mini-swe-agent_openai/gpt-oss-20b_at_together_ai,-0.38315272,0.090718135
