,a,b,a_std,b_std
django__django-10973,1.6556293964385986,-1.313594102859497,0.2499991,0.1821343
django__django-10999,2.094153881072998,4.3616790771484375,0.3379177,0.7030455
django__django-11066,1.8347389698028564,-2.9917750358581543,0.26875874,0.3301802
django__django-11087,2.106114149093628,4.595841884613037,0.44458202,0.80435526
django__django-11095,2.54868221282959,-1.8079321384429932,0.45843393,0.1701772
django__django-11099,1.3496588468551636,-2.8964486122131348,0.23364621,0.31443444
django__django-11119,1.2634178400039673,-3.179030179977417,0.17946842,0.32514864
django__django-11133,1.4677482843399048,-2.7281410694122314,0.17300609,0.3147031
django__django-11138,2.023752212524414,2.0661802291870117,0.32823378,0.17629822
django__django-11141,1.1217403411865234,1.947151780128479,0.1914168,0.19802195
django__django-11149,1.5367480516433716,1.279779076576233,0.20264961,0.14133762
django__django-11163,2.3959012031555176,-2.3218257427215576,0.32204193,0.198307
django__django-11179,2.6244919300079346,-1.4940438270568848,0.49376622,0.12875858
django__django-11206,0.8199452757835388,1.4273968935012817,0.14323948,0.3363244
django__django-11211,2.401017904281616,-0.5331776738166809,0.37343055,0.106422186
django__django-11239,1.7634671926498413,0.8673068284988403,0.26525953,0.13865161
django__django-11265,0.8416280746459961,1.2952953577041626,0.1736005,0.22111014
django__django-11276,0.922913670539856,-1.5948987007141113,0.11796439,0.24604306
django__django-11292,2.4016053676605225,-1.1950440406799316,0.23990236,0.13597876
django__django-11299,2.2598862648010254,0.26606297492980957,0.40054718,0.105345085
django__django-11333,2.4957971572875977,0.21871139109134674,0.3859748,0.12693623
django__django-11400,2.170619010925293,4.52202844619751,0.46756983,0.52161276
django__django-11433,2.136460304260254,1.8218218088150024,0.3467976,0.13645034
django__django-11451,1.3271567821502686,-1.4619131088256836,0.18347642,0.19914174
django__django-11477,1.184719443321228,4.000636577606201,0.20243245,0.49463305
django__django-11490,1.6100395917892456,0.7570036053657532,0.23808892,0.1613326
django__django-11532,0.534690797328949,0.46204933524131775,0.1741311,0.3168255
django__django-11551,1.9929795265197754,-1.903393030166626,0.2298901,0.2516224
django__django-11555,1.4723618030548096,0.7471100091934204,0.21737853,0.15078484
django__django-11603,1.7267374992370605,-2.4651284217834473,0.31334442,0.22018805
django__django-11728,1.567579746246338,2.28820538520813,0.34243244,0.1932775
django__django-11734,1.8911787271499634,3.288248300552368,0.25399294,0.28805116
django__django-11740,2.134859323501587,-0.16941173374652863,0.25660458,0.13747437
django__django-11749,1.846591830253601,-0.7368760704994202,0.2620762,0.110396646
django__django-11790,0.22776831686496735,4.362427711486816,0.041739836,0.7068398
django__django-11815,0.7286905646324158,-0.7288718223571777,0.1507291,0.2422603
django__django-11820,2.040680170059204,3.513925790786743,0.4053717,0.58938515
django__django-11848,0.4886114001274109,2.0575356483459473,0.11791844,0.48235655
django__django-11880,2.5034170150756836,-2.5271313190460205,0.35385054,0.23284744
django__django-11885,1.9923429489135742,2.4075100421905518,0.29792702,0.21186377
django__django-11951,1.9607865810394287,-1.2507624626159668,0.28210273,0.14819892
django__django-11964,0.608374297618866,2.0358693599700928,0.09123315,0.35098392
django__django-11999,1.7313237190246582,-1.3238459825515747,0.2913763,0.19915122
django__django-12039,1.6005510091781616,-0.08841957151889801,0.23577791,0.13607202
django__django-12050,2.2012903690338135,-1.7203234434127808,0.25878882,0.17450067
django__django-12125,1.3389493227005005,0.24412661790847778,0.22212835,0.14870584
django__django-12143,1.945070743560791,-2.680812120437622,0.27707827,0.32804567
django__django-12155,1.323293685913086,-3.554797649383545,0.1556399,0.35429603
django__django-12193,0.45157578587532043,-0.5488424897193909,0.114290714,0.35613203
django__django-12209,1.8929039239883423,-1.3951404094696045,0.22364174,0.12003966
django__django-12262,1.9572432041168213,-0.3019227385520935,0.26534384,0.16779597
django__django-12273,1.1634775400161743,2.302166223526001,0.19592257,0.2347098
django__django-12276,1.4212660789489746,-1.856124997138977,0.19140366,0.25196508
django__django-12304,2.314563512802124,-0.36276134848594666,0.3401193,0.12895882
django__django-12308,0.6337897181510925,2.6353352069854736,0.10398761,0.33606598
django__django-12325,0.6009659767150879,3.577852725982666,0.07243755,0.45356476
django__django-12406,2.155958890914917,4.653207302093506,0.37830532,0.6145036
django__django-12419,1.3291767835617065,-2.5875601768493652,0.19645244,0.3172896
django__django-12663,1.8716434240341187,0.392422080039978,0.24210623,0.12423592
django__django-12708,2.0125434398651123,-0.44965860247612,0.18798582,0.107828
django__django-12713,1.5425242185592651,-1.4798568487167358,0.2614154,0.20421842
django__django-12741,1.6831334829330444,-0.784993588924408,0.21291685,0.15085322
django__django-12754,2.497730255126953,0.41042590141296387,0.34769094,0.16225871
django__django-12774,2.4693145751953125,0.3161163926124573,0.26375118,0.102635026
django__django-12858,1.6612064838409424,-0.6024051904678345,0.2881256,0.103207156
django__django-12965,2.4273931980133057,0.7306579947471619,0.30465984,0.118480764
django__django-13012,1.463036298751831,-0.40430980920791626,0.26603007,0.1601195
django__django-13023,1.6612141132354736,0.3107355833053589,0.24068186,0.11486676
django__django-13028,1.898203730583191,-1.0753904581069946,0.25871223,0.16187796
django__django-13033,2.412747383117676,0.064581498503685,0.3400889,0.12895674
django__django-13089,1.737585425376892,-2.6287267208099365,0.29560438,0.2602806
django__django-13109,2.1413986682891846,-2.29697322845459,0.24785812,0.21108997
django__django-13112,2.2279484272003174,0.6163241863250732,0.31759727,0.13023672
django__django-13121,2.106355905532837,0.34243813157081604,0.26346627,0.12334113
django__django-13128,2.563232421875,0.4882674515247345,0.37693846,0.11081639
django__django-13158,1.983733892440796,0.1273413598537445,0.25503248,0.10744511
django__django-13195,1.8786054849624634,3.6858205795288086,0.3151388,0.4097152
django__django-13212,2.119652271270752,4.618905544281006,0.4444692,0.6925179
django__django-13279,1.763728380203247,-0.3272044062614441,0.19013709,0.12837787
django__django-13297,2.154449462890625,0.4015394449234009,0.21901815,0.12839402
django__django-13315,1.4562568664550781,-0.38255181908607483,0.20584056,0.16511036
django__django-13343,1.6570489406585693,-0.7758230566978455,0.22513351,0.15198885
django__django-13344,1.7937952280044556,3.103562831878662,0.37970698,0.35687277
django__django-13346,2.0815837383270264,0.4593432545661926,0.32087842,0.14063081
django__django-13363,1.9809623956680298,-2.123788833618164,0.30233106,0.2605931
django__django-13401,1.3750344514846802,-0.6678413152694702,0.22115754,0.14487115
django__django-13406,1.452260971069336,0.24371971189975739,0.20571138,0.12871195
django__django-13410,1.747414231300354,-2.206038236618042,0.3122935,0.22274244
django__django-13417,2.176840305328369,-1.3586173057556152,0.3846302,0.12248675
django__django-13449,2.5955557823181152,-0.06070762872695923,0.25042135,0.08425895
django__django-13512,1.597856044769287,1.1386945247650146,0.14314747,0.14935884
django__django-13513,2.263705253601074,4.479286193847656,0.38118702,0.896412
django__django-13516,2.2984862327575684,-1.4069125652313232,0.3519167,0.196084
django__django-13551,1.4810413122177124,0.5328184366226196,0.32755795,0.15102586
django__django-13568,1.835809350013733,0.6208471059799194,0.29057696,0.15510158
django__django-13569,1.8137800693511963,-0.8874601721763611,0.21604055,0.122184694
django__django-13590,1.587327480316162,-0.8585593104362488,0.2629525,0.16067737
django__django-13658,1.5155572891235352,-3.693108081817627,0.25973287,0.31129098
django__django-13670,1.8203834295272827,-2.122082471847534,0.27380767,0.21245153
django__django-13741,1.5832242965698242,-2.5786588191986084,0.25643936,0.27941146
django__django-13786,1.7137765884399414,-1.8686574697494507,0.2770981,0.26822966
django__django-13794,0.733362078666687,4.136938571929932,0.1090161,0.43498155
django__django-13807,2.0139834880828857,1.065509557723999,0.20423022,0.16314045
django__django-13809,1.1339319944381714,-1.487820029258728,0.16612673,0.21444616
django__django-13810,1.4553474187850952,-1.0957021713256836,0.1917974,0.23005475
django__django-13820,2.4342567920684814,-2.0502583980560303,0.31583354,0.19706884
django__django-13821,1.9015098810195923,-1.9082920551300049,0.28159952,0.23101175
django__django-13837,1.6337076425552368,-1.0434222221374512,0.23730157,0.19933608
django__django-13925,0.8689208626747131,0.43927934765815735,0.19039431,0.20866124
django__django-13933,1.7079346179962158,-1.5230050086975098,0.21937953,0.18203747
django__django-13964,1.5972007513046265,-0.0748138502240181,0.22918499,0.16426447
django__django-14007,2.0184426307678223,-0.41260793805122375,0.33416626,0.108652644
django__django-14011,2.181292772293091,4.471852779388428,0.47272038,0.5564664
django__django-14017,2.2257235050201416,-0.43315842747688293,0.32214165,0.13012178
django__django-14034,2.0930051803588867,4.357950687408447,0.40821686,0.6549851
django__django-14053,0.8392205834388733,-1.5576090812683105,0.14557056,0.29185537
django__django-14089,1.8193492889404297,-2.6889779567718506,0.34240407,0.26998484
django__django-14122,1.7353036403656006,-0.12531380355358124,0.34526554,0.16375299
django__django-14140,0.372881680727005,2.4445173740386963,0.06009801,0.60245293
django__django-14155,2.1710004806518555,4.277801036834717,0.44748864,0.7483442
django__django-14170,1.905047059059143,3.1638076305389404,0.36006793,0.39136592
django__django-14238,1.985666036605835,-1.264312505722046,0.31002223,0.16393952
django__django-14311,2.1111152172088623,0.3296283185482025,0.26339492,0.093772024
django__django-14315,1.4535616636276245,3.3210012912750244,0.25399822,0.3735116
django__django-14349,1.8768410682678223,-1.5072040557861328,0.2146392,0.15442382
django__django-14351,1.1923977136611938,0.7200087904930115,0.20342474,0.17623392
django__django-14373,2.3262434005737305,-3.1521990299224854,0.4056852,0.19014688
django__django-14376,1.4100847244262695,1.654826045036316,0.24800354,0.17950091
django__django-14404,1.770838737487793,1.2628874778747559,0.20045403,0.18848072
django__django-14434,1.892554759979248,-0.6593661308288574,0.2897768,0.12666976
django__django-14493,2.083512544631958,-1.2437022924423218,0.22478098,0.14750777
django__django-14500,1.0262621641159058,-0.8578768372535706,0.17229004,0.15214711
django__django-14534,1.5335458517074585,2.819817066192627,0.24305762,0.25077146
django__django-14539,1.717584490776062,-1.1013941764831543,0.2599728,0.21718732
django__django-14559,1.146634578704834,-0.9468527436256409,0.167131,0.15251745
django__django-14580,1.9782756567001343,0.20108571648597717,0.26019847,0.09821623
django__django-14608,1.5247657299041748,-0.8955892324447632,0.22815341,0.14585546
django__django-14631,1.5600229501724243,0.842897355556488,0.26452664,0.17162459
django__django-14672,1.68254816532135,-2.0222365856170654,0.25508374,0.24519554
django__django-14725,1.4940294027328491,2.738314390182495,0.24349745,0.35907722
django__django-14752,2.2541229724884033,-2.407514810562134,0.5018455,0.19630565
django__django-14765,1.589873194694519,-2.395531415939331,0.23112074,0.29074585
django__django-14771,1.317288875579834,0.330022931098938,0.24228626,0.17786473
django__django-14787,2.270247220993042,-1.1138043403625488,0.33119762,0.13735092
django__django-14792,2.0336265563964844,3.7840640544891357,0.32552052,0.35716447
django__django-14855,1.5761104822158813,-2.9989101886749268,0.26810554,0.2345505
django__django-14915,1.9983140230178833,-2.3029744625091553,0.2672199,0.27029046
django__django-14999,0.9365386962890625,-0.5655834674835205,0.14192873,0.21996093
django__django-15022,0.7093402743339539,-0.3607419729232788,0.14948003,0.28591603
django__django-15037,1.9422303438186646,0.14656010270118713,0.29810178,0.129904
django__django-15098,2.153142213821411,3.1864125728607178,0.32104075,0.32000902
django__django-15103,1.8604936599731445,-0.8411237001419067,0.28982523,0.14068577
django__django-15104,2.1538641452789307,-2.64814829826355,0.4252667,0.23509926
django__django-15127,0.9377111196517944,1.8377032279968262,0.15484262,0.23703815
django__django-15128,1.2348707914352417,0.19840064644813538,0.22924566,0.18473972
django__django-15161,1.6465516090393066,0.18194781243801117,0.26458955,0.13903664
django__django-15252,2.218977928161621,3.7253706455230713,0.42600396,0.3611833
django__django-15268,1.5985159873962402,0.49112576246261597,0.2204153,0.12856731
django__django-15277,1.9402350187301636,-2.3703112602233887,0.33716857,0.29098946
django__django-15278,2.1726064682006836,-1.0915273427963257,0.3649849,0.1435601
django__django-15280,2.039496660232544,2.288540840148926,0.2834125,0.17720914
django__django-15315,1.7915209531784058,-1.5673130750656128,0.23446779,0.2037568
django__django-15368,2.149921417236328,-2.1380531787872314,0.3063269,0.24573334
django__django-15375,2.54729962348938,0.45634570717811584,0.39658174,0.15311399
django__django-15380,1.6209205389022827,-0.9667898416519165,0.20378995,0.14725418
django__django-15382,2.4093446731567383,-0.35837817192077637,0.31250802,0.118025325
django__django-15467,2.3534514904022217,-2.8955154418945312,0.3625354,0.2622621
django__django-15499,1.9038172960281372,-1.6195111274719238,0.2799867,0.15288645
django__django-15503,2.2959604263305664,1.7037028074264526,0.2973886,0.11608569
django__django-15525,2.022554397583008,-0.2108744978904724,0.2983794,0.09755793
django__django-15554,2.1705427169799805,1.5941011905670166,0.35942733,0.1582148
django__django-15561,2.2960472106933594,-0.8313804864883423,0.283842,0.13085014
django__django-15563,1.3156856298446655,2.354668140411377,0.19050634,0.26225683
django__django-15569,2.030188798904419,-2.17974853515625,0.32279167,0.18934192
django__django-15572,1.4424086809158325,-1.244431495666504,0.24372242,0.20223168
django__django-15629,2.1147749423980713,4.319871425628662,0.44045678,0.74754
django__django-15695,0.989689290523529,2.86801815032959,0.20528656,0.3208455
django__django-15731,1.4487971067428589,-1.8525104522705078,0.22209533,0.28607646
django__django-15732,0.8798627853393555,2.4924986362457275,0.15991652,0.30052653
django__django-15741,1.2171425819396973,-1.9307101964950562,0.19848849,0.3816898
django__django-15814,2.027853488922119,-0.848256528377533,0.29551882,0.17250006
django__django-15851,2.196314573287964,-1.8177355527877808,0.2726666,0.15712543
django__django-15863,2.0118956565856934,-1.0291868448257446,0.34424043,0.1558378
django__django-15916,1.5023939609527588,1.3483102321624756,0.19833961,0.18446115
django__django-15930,2.2457022666931152,-0.21904191374778748,0.32231516,0.11560971
django__django-15957,2.1694130897521973,2.583768844604492,0.26866314,0.16553319
django__django-15973,2.2298965454101562,2.6251091957092285,0.2476252,0.24383992
django__django-15987,0.3419357240200043,-1.4771066904067993,0.070635326,0.45156044
django__django-16032,2.495391845703125,-0.05326266959309578,0.32895452,0.102677144
django__django-16082,2.1729094982147217,-0.5331274271011353,0.35999188,0.117092185
django__django-16100,1.379724383354187,-0.9176032543182373,0.19273797,0.18641722
django__django-16116,1.8045724630355835,-1.2706187963485718,0.25621468,0.18109839
django__django-16136,1.851456880569458,-0.7330189347267151,0.25877044,0.14806029
django__django-16139,1.6419193744659424,-2.864457607269287,0.22008738,0.33958754
django__django-16145,1.6250423192977905,-1.8118032217025757,0.24316114,0.20016207
django__django-16255,1.4700491428375244,-3.292964458465576,0.24148324,0.3408094
django__django-16256,2.021237850189209,3.0628137588500977,0.34194154,0.26204166
django__django-16263,2.0582852363586426,4.628690242767334,0.4513697,0.6758912
django__django-16315,1.6243762969970703,0.7171681523323059,0.22380123,0.12799901
django__django-16333,1.9792989492416382,-2.038301944732666,0.2992866,0.26145947
django__django-16429,1.9670913219451904,-2.3295633792877197,0.29010624,0.30010533
django__django-16454,0.6581879258155823,2.027657985687256,0.098466635,0.263207
django__django-16485,1.8140324354171753,-1.9886806011199951,0.299178,0.20903364
django__django-16493,2.3367068767547607,-1.6922301054000854,0.40462443,0.14687946
django__django-16502,2.162184715270996,4.530496120452881,0.45927325,0.80847037
django__django-16527,1.4401968717575073,-3.0525195598602295,0.24978742,0.3828771
django__django-16560,1.8151683807373047,1.1318109035491943,0.21727645,0.14747949
django__django-16569,1.2611318826675415,-3.776237964630127,0.21341543,0.42282867
django__django-16595,1.8156622648239136,-2.1399972438812256,0.2327294,0.281663
django__django-16612,1.291363000869751,-1.6495413780212402,0.18364215,0.14982887
django__django-16631,2.142552375793457,4.493692874908447,0.45539942,0.7625091
django__django-16642,0.7000715136528015,-0.46844762563705444,0.14477704,0.26687896
django__django-16661,1.7010964155197144,0.03877073898911476,0.24130814,0.12355151
django__django-16662,1.8482677936553955,-1.6173816919326782,0.2726674,0.21743748
django__django-16667,2.125570297241211,4.352615833282471,0.4327153,0.43072918
django__django-16801,1.5611149072647095,-2.444031238555908,0.15286951,0.28248328
django__django-16819,2.1729626655578613,-1.0073271989822388,0.40165776,0.1278154
django__django-16877,0.8505317568778992,0.5495347380638123,0.24808717,0.25487676
django__django-16899,1.5354098081588745,-1.0413092374801636,0.23101838,0.16730821
django__django-16901,2.241520404815674,-0.7516929507255554,0.36557722,0.13354856
django__django-16938,1.2965607643127441,1.8456083536148071,0.21929406,0.24675782
django__django-16950,2.2560667991638184,1.7052279710769653,0.35903114,0.15660492
django__django-17029,1.4821139574050903,-2.6638598442077637,0.26994985,0.35498196
django__django-17084,1.7023556232452393,0.7666778564453125,0.24750791,0.1626032
django__django-17087,2.477976083755493,-0.4859389364719391,0.2939706,0.10393536
django__django-7530,0.9071970582008362,-2.011068820953369,0.14092943,0.27657622
django__django-9296,1.7227680683135986,-2.765573501586914,0.3219357,0.20226721
matplotlib__matplotlib-13989,1.7466027736663818,-1.0924708843231201,0.36676586,0.19245651
matplotlib__matplotlib-14623,2.021088123321533,0.3303975462913513,0.27561375,0.12170805
matplotlib__matplotlib-20488,1.4065943956375122,1.3815490007400513,0.22902837,0.17653254
matplotlib__matplotlib-20676,1.185762882232666,1.895708680152893,0.19082946,0.18612921
matplotlib__matplotlib-20826,1.1190580129623413,1.2703768014907837,0.22918929,0.17172685
matplotlib__matplotlib-20859,1.4791239500045776,-0.7461926937103271,0.19721822,0.14684603
matplotlib__matplotlib-21568,2.0022995471954346,3.6611955165863037,0.285747,0.45516482
matplotlib__matplotlib-22719,1.5406349897384644,-2.4325098991394043,0.22396371,0.30965418
matplotlib__matplotlib-22865,1.8860231637954712,0.6697849035263062,0.33058423,0.11111691
matplotlib__matplotlib-22871,1.9043248891830444,0.6968110203742981,0.23527141,0.13057241
matplotlib__matplotlib-23299,0.8927279710769653,3.925863027572632,0.16954614,0.46857554
matplotlib__matplotlib-23314,1.5181926488876343,-1.0110777616500854,0.16349837,0.15683055
matplotlib__matplotlib-23412,1.6880215406417847,-1.1836402416229248,0.23341474,0.15598968
matplotlib__matplotlib-23476,1.2522015571594238,4.1368536949157715,0.2288417,0.44711673
matplotlib__matplotlib-24026,1.0769907236099243,-1.4622740745544434,0.13976723,0.19584078
matplotlib__matplotlib-24149,1.4151705503463745,-1.1616721153259277,0.23433271,0.17996249
matplotlib__matplotlib-24177,2.221850872039795,2.2497048377990723,0.31206578,0.14070947
matplotlib__matplotlib-24570,0.5960335731506348,-1.5487123727798462,0.11373323,0.3719152
matplotlib__matplotlib-24627,1.3460609912872314,-0.23105080425739288,0.261265,0.19413552
matplotlib__matplotlib-24637,1.502478837966919,-0.16974195837974548,0.25632566,0.16947204
matplotlib__matplotlib-24870,2.0758345127105713,3.5642549991607666,0.3523865,0.40737346
matplotlib__matplotlib-24970,1.8042813539505005,-1.2287437915802002,0.22007738,0.16400158
matplotlib__matplotlib-25122,1.4581619501113892,-1.8116490840911865,0.25244248,0.28845775
matplotlib__matplotlib-25287,1.517420768737793,-1.5581412315368652,0.20621003,0.19858196
matplotlib__matplotlib-25311,1.8742090463638306,0.21927888691425323,0.30285558,0.14878681
matplotlib__matplotlib-25332,1.226520299911499,0.14639942348003387,0.21831566,0.17397898
matplotlib__matplotlib-25479,2.248147964477539,4.297440052032471,0.45004442,0.56964344
matplotlib__matplotlib-25775,0.8173532485961914,0.5815670490264893,0.157529,0.23190191
matplotlib__matplotlib-25960,1.5820244550704956,2.5211963653564453,0.23849232,0.27761036
matplotlib__matplotlib-26113,1.4044506549835205,-1.7433055639266968,0.25377297,0.21603419
matplotlib__matplotlib-26208,2.045100450515747,3.302473783493042,0.31196606,0.40577093
matplotlib__matplotlib-26291,1.1135870218276978,0.18253348767757416,0.21399653,0.1797363
matplotlib__matplotlib-26342,1.837687373161316,-1.0310325622558594,0.22150916,0.10484293
matplotlib__matplotlib-26466,2.184128999710083,4.346591949462891,0.3359515,0.5130019
mwaskom__seaborn-3069,1.865462064743042,0.8228225708007812,0.29760438,0.1184441
mwaskom__seaborn-3187,2.044722318649292,2.647327423095703,0.27833244,0.21521159
pallets__flask-5014,1.572110652923584,-2.4749927520751953,0.21363,0.27316698
psf__requests-1142,0.8962645530700684,0.15378916263580322,0.19227214,0.20686765
psf__requests-1724,0.2725314795970917,-1.5438079833984375,0.09860647,0.6482268
psf__requests-1766,0.3740273714065552,-2.1921887397766113,0.09123,0.47724587
psf__requests-1921,0.41307535767555237,-0.49679842591285706,0.106944755,0.3725977
psf__requests-2317,0.3381586968898773,-1.1886066198349,0.10110758,0.5261709
psf__requests-2931,0.7335288524627686,1.1080727577209473,0.17806154,0.19006151
psf__requests-5414,1.6167703866958618,-0.10317724943161011,0.29318935,0.13311379
psf__requests-6028,1.826952338218689,3.140594482421875,0.26197565,0.31724197
pydata__xarray-2905,1.6068167686462402,-0.18468594551086426,0.34991026,0.17911431
pydata__xarray-3095,2.4099130630493164,-0.07940780371427536,0.34710577,0.09960382
pydata__xarray-3151,2.636221170425415,-0.9034360647201538,0.31568557,0.13968013
pydata__xarray-3305,1.3956661224365234,-1.143828272819519,0.23337543,0.14913094
pydata__xarray-3677,2.28594970703125,-1.7595243453979492,0.37062067,0.16915944
pydata__xarray-3993,1.9244136810302734,0.6208365559577942,0.27079263,0.15406834
pydata__xarray-4075,2.220492362976074,-2.2260489463806152,0.3860781,0.2628562
pydata__xarray-4094,1.8488965034484863,0.13337524235248566,0.3410598,0.13379666
pydata__xarray-4356,1.991830825805664,-1.6428453922271729,0.2623343,0.14138296
pydata__xarray-4629,2.327033758163452,-2.843024969100952,0.35668445,0.256314
pydata__xarray-4687,1.4733624458312988,1.3169211149215698,0.25274122,0.15963195
pydata__xarray-4695,2.1114726066589355,0.3683236241340637,0.27687165,0.14763665
pydata__xarray-4966,2.161803722381592,-1.4584717750549316,0.3291341,0.13133934
pydata__xarray-6461,1.1949383020401,-1.166762351989746,0.24482213,0.15533924
pydata__xarray-6599,0.4576171636581421,2.025338649749756,0.06438615,0.39393765
pydata__xarray-6721,1.0203781127929688,0.36382684111595154,0.158912,0.20280004
pydata__xarray-6744,1.33488130569458,0.14920446276664734,0.23591784,0.15412958
pydata__xarray-6938,2.1289288997650146,2.1256566047668457,0.31972888,0.12885839
pydata__xarray-6992,2.1859896183013916,4.404998302459717,0.42345586,0.89837897
pydata__xarray-7229,2.135282278060913,4.495887279510498,0.4983301,0.65830284
pydata__xarray-7233,1.885562777519226,-1.4811967611312866,0.25570688,0.1854482
pydata__xarray-7393,1.5522165298461914,0.2731982171535492,0.21214844,0.12527496
pylint-dev__pylint-4551,2.199892520904541,4.407886028289795,0.47338855,0.7829364
pylint-dev__pylint-4604,2.115372657775879,4.229074001312256,0.4687602,0.6364364
pylint-dev__pylint-4661,2.1544675827026367,4.2210307121276855,0.46964395,0.4906963
pylint-dev__pylint-4970,0.5071083307266235,2.9974091053009033,0.07983533,0.39553514
pylint-dev__pylint-6386,1.8413572311401367,1.198524832725525,0.25391534,0.16801366
pylint-dev__pylint-6528,1.064074993133545,0.6427068710327148,0.18407196,0.16530052
pylint-dev__pylint-6903,2.2281832695007324,-3.2276062965393066,0.3709671,0.36386
pylint-dev__pylint-7080,0.8281263113021851,2.459419012069702,0.0842531,0.24978402
pylint-dev__pylint-7277,0.46306586265563965,-2.8608577251434326,0.07749359,0.4283101
pylint-dev__pylint-8898,0.6877031326293945,3.8124337196350098,0.12195687,0.5295378
pytest-dev__pytest-10051,1.592258334159851,0.9310012459754944,0.28639805,0.1454548
pytest-dev__pytest-10081,1.968191146850586,-0.736415684223175,0.31172705,0.14229044
pytest-dev__pytest-10356,1.9833178520202637,4.946249485015869,0.44074523,0.60184854
pytest-dev__pytest-5262,1.8856091499328613,-0.638227641582489,0.31575212,0.10480654
pytest-dev__pytest-5631,1.9441529512405396,-0.6735014319419861,0.331416,0.13483839
pytest-dev__pytest-5787,2.5655503273010254,1.259331464767456,0.43353337,0.124638334
pytest-dev__pytest-5809,1.7721986770629883,-3.083733558654785,0.32027024,0.3441798
pytest-dev__pytest-5840,1.9948188066482544,3.0915815830230713,0.3123458,0.35079432
pytest-dev__pytest-6197,2.0978777408599854,1.2139208316802979,0.2560803,0.11272196
pytest-dev__pytest-6202,2.351125717163086,-2.899028778076172,0.29933837,0.30328578
pytest-dev__pytest-7205,0.35292720794677734,-1.3524384498596191,0.08158258,0.5245742
pytest-dev__pytest-7236,1.6965656280517578,-0.3143853545188904,0.3100451,0.18275708
pytest-dev__pytest-7324,2.3177332878112793,1.0230457782745361,0.33997148,0.11940862
pytest-dev__pytest-7432,1.7636206150054932,-0.6909106969833374,0.21455182,0.11228057
pytest-dev__pytest-7490,1.8704257011413574,0.2293148785829544,0.3333982,0.1533026
pytest-dev__pytest-7521,2.167165517807007,-0.4132830798625946,0.2525848,0.13061833
pytest-dev__pytest-7571,2.337784767150879,-1.138812780380249,0.41835055,0.12407489
pytest-dev__pytest-7982,1.4234250783920288,-2.185973644256592,0.3079024,0.30491653
pytest-dev__pytest-8399,1.4621816873550415,-2.5466063022613525,0.28370604,0.3714881
scikit-learn__scikit-learn-10297,1.9714174270629883,-2.549523115158081,0.3000691,0.209323
scikit-learn__scikit-learn-10844,2.271470546722412,-3.3155627250671387,0.41341236,0.3471013
scikit-learn__scikit-learn-10908,1.8755173683166504,-0.04916375130414963,0.2305316,0.11834742
scikit-learn__scikit-learn-11310,2.277050495147705,-1.3589622974395752,0.34091145,0.13552435
scikit-learn__scikit-learn-11578,1.3682295083999634,-2.5774474143981934,0.10979138,0.3090451
scikit-learn__scikit-learn-12585,1.6358250379562378,-3.2601897716522217,0.25762194,0.3306721
scikit-learn__scikit-learn-12682,2.5318870544433594,0.09593969583511353,0.3268562,0.13832656
scikit-learn__scikit-learn-12973,1.196190595626831,-0.7864266633987427,0.26264334,0.17819384
