,theta1,theta1_std,theta2,theta2_std,theta_avg
openhands_gemini-2_5-flash_at_gemini,-0.74448496,0.15514532,-0.97955877,0.22489244,-0.86202186
terminus-2_grok-code-fast-1_at_xai,-1.0183837,0.14939412,-0.78939545,0.21942724,-0.9038896
openhands_claude-haiku-4-5-20251001_at_anthropic,-0.9485452,0.15491568,-0.98247063,0.2217308,-0.9655079
mini-swe-agent_openai/gpt-oss-120b_at_together_ai,-1.0426675,0.16261019,-1.215896,0.24784853,-1.1292818
codex_gpt-5-nano_at_openai,-1.2613133,0.17313223,-1.0544549,0.259649,-1.1578841
openhands_gpt-5-nano_at_openai,-1.5458993,0.15984134,-0.8070705,0.23527901,-1.1764848
terminus-2_gpt-5-nano_at_openai,-2.1158943,0.18974394,-0.26511526,0.24284293,-1.1905048
mini-swe-agent_gpt-5-nano_at_openai,-2.289945,0.19390927,-0.3356609,0.24245614,-1.3128029
mini-swe-agent_openai/gpt-oss-20b_at_together_ai,-2.7042503,0.29286334,-1.3612499,0.43546265,-2.0327501
terminus-2_openai/gpt-oss-20b_at_together_ai,-2.7135062,0.2581072,-1.3829696,0.39097664,-2.0482378
