,theta1,theta1_std,theta2,theta2_std,theta3,theta3_std,theta_avg
mini-swe-agent_claude-haiku-4-5-20251001_at_anthropic,-1.0174265,0.20553707,-0.33442596,0.1644177,0.6148601,0.14596,-0.2456641
terminus-2_gpt-5-mini_at_openai,0.20639762,0.1733412,0.27086928,0.16592224,-1.3146712,0.18168387,-0.27913475
claude-code_claude-haiku-4-5-20251001_at_anthropic,-0.6993866,0.20980906,-0.98964864,0.17782712,0.83341044,0.16108687,-0.28520826
mini-swe-agent_grok-code-fast-1_at_xai,-0.89539343,0.20920745,-0.012883189,0.17394477,-0.031591553,0.15592588,-0.31328937
terminus-2_moonshotai/kimi-k2-instruct-0905_at_together_ai,-1.0534039,0.22123758,-0.061249953,0.16832526,0.09168291,0.1544296,-0.3409903
aone-agent_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_modelscope,-0.7623174,0.20453711,-0.43817112,0.17323017,0.14218831,0.152669,-0.35276675
mini-swe-agent_gpt-5-mini_at_openai,0.0896704,0.18878831,0.08445853,0.16374692,-1.2425139,0.17302258,-0.35612833
terminus-2_claude-haiku-4-5-20251001_at_anthropic,-1.4226956,0.22824568,-0.005117874,0.17261222,0.25453478,0.15209651,-0.39109293
openhands_moonshotai/kimi-k2-instruct-0905_at_together_ai,-1.354865,0.24361768,-0.68612456,0.17907624,0.6491286,0.16135773,-0.46395358
gemini-cli_gemini-2_5-pro_at_gemini,-0.3920532,0.2174985,-0.31980753,0.18240893,-0.70829505,0.17145503,-0.47338524
openhands_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_together_ai,-1.3823022,0.25350907,-0.006047459,0.1704401,-0.047700923,0.16047163,-0.4786835
terminus-2_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_together_ai,-1.3280824,0.23247819,0.114117175,0.17235523,-0.35998812,0.15944871,-0.5246511
terminus-2_accounts/fireworks/models/glm-4p6_at_fireworks_ai,-1.9870443,0.26106596,0.12917225,0.18105978,0.112179324,0.17283116,-0.5818976
terminus-2_gemini-2_5-flash_at_gemini,-0.0863007,0.2230248,-0.17131072,0.1772699,-1.5300528,0.20341593,-0.5958881
terminus-2_openai/gpt-oss-120b_at_together_ai,-0.6210722,0.23085625,0.120202206,0.1778275,-1.3193,0.19334514,-0.60672337
openhands_gemini-2_5-pro_at_gemini,-0.38625997,0.21710801,-0.7999339,0.19052212,-0.69839346,0.16577558,-0.6281958
gemini-cli_gemini-2_5-flash_at_gemini,-0.43188694,0.23497912,-0.7810489,0.18964939,-0.7932021,0.17471887,-0.6687126
mini-swe-agent_gemini-2_5-flash_at_gemini,-1.1510268,0.26065633,-0.03947872,0.1835816,-0.9335679,0.18557939,-0.7080245
openhands_gemini-2_5-flash_at_gemini,-1.017114,0.25931296,-0.41054046,0.18491489,-0.80615425,0.17367756,-0.7446029
terminus-2_grok-code-fast-1_at_xai,-0.60570896,0.2738162,-0.6277523,0.17991449,-1.0320072,0.19408563,-0.7551562
openhands_claude-haiku-4-5-20251001_at_anthropic,-0.698899,0.25868866,-1.4234186,0.21209976,-0.29624248,0.176723,-0.8061867
codex_gpt-5-nano_at_openai,-0.766592,0.26694724,-0.7247952,0.20561664,-1.3027225,0.21725354,-0.93136996
mini-swe-agent_openai/gpt-oss-120b_at_together_ai,-1.422047,0.2986331,-0.040854014,0.20879504,-1.5629452,0.22779386,-1.0086154
openhands_gpt-5-nano_at_openai,-0.71111953,0.27567697,-0.92896706,0.21696416,-1.4488393,0.22349204,-1.029642
terminus-2_gpt-5-nano_at_openai,0.055785093,0.24712656,-0.75446427,0.19891188,-2.5119972,0.29404023,-1.0702255
mini-swe-agent_gpt-5-nano_at_openai,0.09851633,0.26301944,-0.99812454,0.24224304,-2.4461455,0.31248993,-1.1152512
mini-swe-agent_openai/gpt-oss-20b_at_together_ai,-0.81086487,0.41210857,-1.8780178,0.29733056,-2.2179058,0.3900875,-1.6355962
terminus-2_openai/gpt-oss-20b_at_together_ai,-0.79035354,0.37706634,-1.9705654,0.28948084,-2.192817,0.3419129,-1.6512455
