,a1,b1,a1_std,b1_std,a2,b2,a2_std,b2_std,a3,b3,a3_std,b3_std
polyglot-c-py,1.1061041,1.4781054,0.12458827,0.14717014,0.7228019,0.979436,0.15374443,0.23459972,0.74053365,0.9325392,0.15923381,0.23591876
polyglot-rust-c,1.1093905,1.377134,0.14751312,0.18641728,0.7706405,0.888136,0.17424321,0.23806389,1.452603,1.1801635,0.19700517,0.14524324
portfolio-optimization,-0.033049624,0.7305596,0.09825708,0.6426313,1.0978711,-1.2262208,0.10553166,0.13578273,0.6133192,-0.0872826,0.11657822,0.26106858
protein-assembly,1.6868583,1.186885,0.16314723,0.12284797,1.472168,0.90364265,0.1763126,0.12780836,0.5058763,0.62787217,0.16514342,0.3354697
prove-plus-comm,-0.39309162,0.8865975,0.13430841,0.43500417,1.3139143,-1.4302678,0.11840576,0.1521482,0.6839074,-0.07638595,0.13492799,0.2816132
pypi-server,0.36766,0.35148534,0.10492115,0.30380684,0.95196635,-0.538738,0.10779178,0.14610949,0.6057102,-0.09732167,0.109384,0.21062087
pytorch-model-cli,0.16564512,0.65195554,0.09839037,0.5494278,1.0143526,0.19776553,0.14524661,0.1230921,1.079316,0.27027774,0.13433397,0.12276631
pytorch-model-recovery,0.26777586,0.80017984,0.08354245,0.3514405,0.45639256,0.51492167,0.1115887,0.22326463,0.23894282,0.5122616,0.08456584,0.38094354
qemu-alpine-ssh,-0.4617235,0.6625388,0.12222088,0.32077113,1.4415514,0.9846674,0.1727086,0.1086701,1.1263103,1.1183332,0.13071896,0.13532002
qemu-startup,-0.01201121,0.7394111,0.078242004,0.68327963,0.4586394,0.10868074,0.117504686,0.24152151,0.6642856,-0.055650264,0.1004466,0.17986661
query-optimize,0.11110341,0.72619164,0.08890103,0.5624927,-0.4874667,0.4314777,0.122419484,0.2613103,1.3156278,0.7268074,0.113041036,0.09976291
raman-fitting,2.1798718,2.76346,0.31114343,0.31039283,0.09730308,0.48796508,0.2558932,0.76629007,0.7807166,1.2602587,0.2821783,0.55838186
regex-chess,1.3401303,2.0800312,0.19253969,0.28066877,1.1252487,1.8059155,0.21080674,0.31413478,0.59509355,1.2047613,0.23555897,0.48442423
regex-log,1.3342845,-0.5724591,0.16793796,0.10616476,0.6145388,-0.32791725,0.13669583,0.2204883,0.5789487,-0.03664039,0.11167126,0.2368345
reshard-c4-data,0.7757997,0.69596606,0.12244628,0.18728378,1.2413146,0.20947653,0.15168124,0.11719088,1.1621623,0.40843382,0.14102036,0.12430537
rstan-to-pystan,0.767232,0.71874994,0.111338206,0.17198962,0.14993912,0.39652437,0.12551473,0.54489446,1.2288622,0.49115196,0.13284549,0.11467891
sam-cell-seg,0.9074173,2.9044943,0.12728623,0.44310123,0.720878,2.6485758,0.14974943,0.53135234,-0.13007247,0.46249756,0.23116934,0.657585
sanitize-git-repo,0.49466103,0.9410834,0.104242116,0.2605232,0.5502701,0.56097376,0.13285269,0.24486195,1.145295,0.8941321,0.12784825,0.12400436
schemelike-metacircular-eval,0.71490407,1.1278436,0.09802043,0.20532972,0.74497384,0.8099562,0.13044679,0.18493259,0.59779954,0.84990805,0.114294805,0.23123714
sparql-university,1.1705252,0.7083459,0.12097802,0.12435478,1.2828834,0.4930609,0.14792636,0.11740717,0.1532865,0.54250056,0.10389324,0.5578931
sqlite-db-truncate,1.0078392,0.57127094,0.14385007,0.18769728,1.9481227,0.13845341,0.194201,0.10009341,1.971482,0.29805678,0.2041201,0.09059587
sqlite-with-gcov,-0.024250379,0.7352196,0.09149151,0.6383646,1.1704355,-0.32753193,0.12217502,0.11128513,0.43689248,0.31187847,0.101596564,0.2650068
torch-pipeline-parallelism,0.5537198,1.5672513,0.2008695,0.45655125,1.1539532,1.7138085,0.22314909,0.28119448,1.3307457,1.8852419,0.20693286,0.24988565
torch-tensor-parallelism,0.999726,1.696478,0.1598373,0.23201612,0.79637444,1.1441525,0.18813822,0.30021203,1.1819936,1.5853091,0.18471354,0.21824023
train-fasttext,1.1944907,3.1259432,0.123714335,0.3040604,-0.37860283,-0.061818156,0.22356164,0.5859195,0.17259297,0.94724995,0.18105742,0.7065494
tune-mjcf,0.12617457,0.7529077,0.094409004,0.5123487,0.7501839,0.47482425,0.12895359,0.1609286,0.74992627,0.5880816,0.1101493,0.15172717
video-processing,1.1648898,2.0244396,0.22799163,0.3248336,1.0180223,1.6082463,0.23999399,0.38264865,1.047076,1.6393613,0.22471733,0.34022573
vulnerable-secret,0.1762847,0.53319675,0.10021961,0.48237,1.0764548,-0.5705263,0.14228466,0.13767946,1.0652363,-0.4161798,0.1341022,0.14387758
winning-avg-corewars,0.48103058,1.1135378,0.10701081,0.28464898,1.2994304,0.99129564,0.14263935,0.11518409,0.00976443,0.48762828,0.10927695,0.60132474
write-compressor,1.030034,1.2316196,0.16181521,0.19532369,1.2284371,1.0158699,0.17859307,0.16604958,1.1791952,1.0883803,0.1700282,0.15737839
