,a1,b1,a1_std,b1_std,a2,b2,a2_std,b2_std
model-extraction-relu-logits,0.68330836,0.47753656,0.21443266,0.34445357,0.38107598,0.34198564,0.19528644,0.58390945
modernize-scientific-stack,0.6532523,-1.1970282,0.27169564,0.62623006,1.7418416,-2.0942137,0.30494294,0.41402805
mteb-leaderboard,0.1665486,-0.050605092,0.27318954,0.58545053,1.5608124,1.4848667,0.24307834,0.23341
mteb-retrieve,0.33528078,-0.07583918,0.23843144,0.5915868,1.7037722,1.4586124,0.25607726,0.21362013
multi-source-data-merger,0.6749965,-1.2753378,0.26276588,0.68610215,1.5204364,-2.2333372,0.2772243,0.49624866
nginx-request-logging,0.78385,-1.1739413,0.25669348,0.49860868,1.749405,-1.8014351,0.3222763,0.38732684
openssl-selfsigned-cert,0.24805905,-0.23854518,0.24888405,0.59176475,1.2189103,-1.5630625,0.18870077,0.29749095
overfull-hbox,0.43230984,-0.15166418,0.23191954,0.3927977,2.0146322,-0.008409903,0.2973761,0.14739062
password-recovery,0.5635375,-0.1753961,0.2541342,0.34467453,1.8920518,-0.13907112,0.27482635,0.1602577
path-tracing,0.3868911,0.053358734,0.24456185,0.4976539,1.9176499,1.0068077,0.2963944,0.19159673
path-tracing-reverse,0.39314684,0.07187058,0.24648878,0.51615435,1.8139174,1.2874982,0.26126152,0.19857918
polyglot-c-py,0.29902446,-0.042809732,0.24067464,0.52115357,1.8675634,1.1430789,0.26877385,0.19734646
polyglot-rust-c,0.5025061,0.058072977,0.2828239,0.47144908,2.010325,1.3066615,0.27260023,0.18633227
portfolio-optimization,0.60921943,-0.79956174,0.25123933,0.50373614,1.824467,-1.728358,0.26992428,0.28912324
protein-assembly,0.037096344,-0.2008378,0.25648764,0.6471357,2.0975578,0.82868356,0.3008084,0.16574761
prove-plus-comm,0.7079242,-1.347663,0.23251057,0.56961966,1.5795225,-2.1140914,0.29473558,0.45682994
pypi-server,0.48578712,-0.5813664,0.23910427,0.48742852,1.4955419,-1.4544888,0.224019,0.27036753
pytorch-model-cli,0.6093713,-0.29229847,0.25640348,0.32554534,1.6669153,-0.5376396,0.26327288,0.18398404
pytorch-model-recovery,0.46665654,-0.67926335,0.19970748,0.39979917,0.56640965,-0.6344989,0.17651978,0.43337727
qemu-alpine-ssh,0.9459694,0.00261183,0.3042135,0.2514341,1.6494364,0.19461939,0.25817078,0.1866594
qemu-startup,0.53890795,-0.8218052,0.2292779,0.4501042,1.2720891,-1.4918125,0.2212944,0.319996
query-optimize,0.98134923,-0.33680516,0.28258565,0.21649477,1.0776163,-0.22028908,0.24200113,0.2515436
raman-fitting,0.62692535,1.1107405,0.2494749,0.8114657,1.6496632,2.4653916,0.28327715,0.46017367
regex-chess,0.4363422,0.23926768,0.2638169,0.5811214,1.7799426,1.8831203,0.26259387,0.24640024
regex-log,0.3663938,-0.36452106,0.24679318,0.54755265,1.7229587,-1.4058807,0.2513181,0.26082712
reshard-c4-data,0.5368712,-0.13061346,0.24772662,0.4026276,2.0545492,-0.08750961,0.31021208,0.15378384
rstan-to-pystan,0.658189,-0.23108552,0.25723147,0.29087445,1.3767514,-0.14429052,0.25893018,0.1971169
sam-cell-seg,1.0684146,2.2202332,0.17595679,0.42955434,0.45161104,0.59832156,0.28118947,0.69123864
sanitize-git-repo,0.48930985,-0.14774628,0.25218502,0.39418498,1.6482095,0.048239984,0.25070322,0.16336925
schemelike-metacircular-eval,0.24180774,-0.13212126,0.21075018,0.5326886,1.1942658,0.14477064,0.24477167,0.21359013
sparql-university,0.060847,-0.20821925,0.22917005,0.63651747,1.9084579,-0.029023403,0.28300732,0.1507549
sqlite-db-truncate,0.3801337,-0.17199607,0.24656299,0.4406876,2.3969543,0.020689422,0.3313734,0.13588844
sqlite-with-gcov,0.78738916,-0.9428673,0.22322415,0.34027344,1.3081838,-1.1327412,0.27221912,0.2968649
torch-pipeline-parallelism,0.5564716,0.2923993,0.2695974,0.48530802,1.8513541,1.807361,0.2724987,0.25401673
torch-tensor-parallelism,0.40501213,0.0756221,0.2640518,0.52679324,1.6661087,1.5645574,0.24325232,0.23817286
train-fasttext,1.0608071,2.0516694,0.1594449,0.3574288,0.2045994,0.15338373,0.2869299,0.7502267
tune-mjcf,0.71373624,-0.40488014,0.2500684,0.32382736,1.6579473,-0.6438337,0.26002544,0.19642478
video-processing,0.37467322,0.08650986,0.2665138,0.5837661,1.9960294,1.7473739,0.2827364,0.20948271
vulnerable-secret,0.5379999,-0.46516293,0.25188854,0.4625696,1.9099519,-1.2815986,0.2600247,0.21982905
winning-avg-corewars,0.10601374,-0.061477292,0.23135391,0.58013713,1.5602505,0.09613788,0.24315152,0.177982
write-compressor,0.32564422,-0.0989123,0.26681128,0.5383571,2.1563876,0.89330244,0.29738444,0.16319568
