,theta1,theta1_std,theta2,theta2_std,theta_avg
claude-code_minimax-m2_1_at_minimax,0.19941776,0.32178104,-0.016311945,0.193562,0.091552906
mini-swe-agent_gpt-5-codex_at_openai,-0.27910972,0.30904508,0.44692004,0.1956482,0.08390516
terminus-2_moonshotai/kimi-k2-thinking_at_together_ai,0.3091381,0.34413752,-0.14684995,0.18110308,0.08114407
codex_gpt-5_1-codex-mini_at_openai,-0.5510633,0.32899243,0.7097933,0.20015827,0.079365015
codex_gpt-5-codex_at_openai,-0.5134423,0.32821774,0.5481063,0.18838713,0.017332017
claude-code_claude-opus-4-1-20250805_at_anthropic,0.05474146,0.29821882,-0.0799471,0.18254653,-0.012602819
mini-swe-agent_claude-opus-4-1-20250805_at_anthropic,0.14681403,0.32042414,-0.19781765,0.18386787,-0.02550181
terminus-2_minimax-m2_1_at_openai,0.08296139,0.31064317,-0.15471384,0.1856609,-0.035876226
terminus-2_claude-haiku-4-5-20251001_at_anthropic,0.38493332,0.33579433,-0.4890233,0.1893405,-0.052044988
spoox-m_gpt-5-mini_at_openai,-0.22050638,0.3270741,0.111652784,0.17788789,-0.0544268
codex_gpt-5-mini_at_openai,-0.21153368,0.3296564,0.07584769,0.18718046,-0.06784299
terminus-2_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_together_ai,0.59983116,0.3311134,-0.73878425,0.20222746,-0.069476545
terminus-2_accounts/fireworks/models/minimax-m2_at_fireworks_ai,0.15593418,0.32737467,-0.32921678,0.1961858,-0.0866413
terminus-2_accounts/fireworks/models/glm-4p6_at_fireworks_ai,0.371294,0.31544322,-0.6168846,0.18894288,-0.1227953
openhands_moonshotai/kimi-k2-instruct-0905_at_together_ai,0.5789132,0.3427407,-0.83659625,0.19252937,-0.12884152
terminus-2_moonshotai/kimi-k2-instruct-0905_at_together_ai,0.43272638,0.32806948,-0.6930167,0.1872119,-0.13014516
terminus-2_gpt-5_at_openai,-0.7151902,0.32458907,0.45327574,0.18506843,-0.13095722
openhands_grok-4-0709_at_xai,-0.108804844,0.3034471,-0.1575905,0.17370899,-0.13319767
aone-agent_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_modelscope,0.5781142,0.35380363,-0.84641,0.20570505,-0.13414788
mini-swe-agent_grok-4-0709_at_xai,-0.22137922,0.31965464,-0.1416325,0.18240094,-0.18150586
mini-swe-agent_gemini-2_5-pro_at_gemini,3.912067e-05,0.32277226,-0.38464284,0.17815056,-0.19230185
mini-swe-agent_claude-haiku-4-5-20251001_at_anthropic,0.08461469,0.30787253,-0.4796089,0.2010988,-0.1974971
claude-code_claude-haiku-4-5-20251001_at_anthropic,-0.001810846,0.29859862,-0.4037442,0.18848957,-0.20277752
openhands_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_together_ai,0.14278176,0.31571215,-0.62046856,0.18005255,-0.2388434
mini-swe-agent_gpt-5_at_openai,-0.8332849,0.37241453,0.31753132,0.1821342,-0.2578768
gemini-cli_gemini-2_5-pro_at_gemini,-0.1420217,0.31232616,-0.37972417,0.17704634,-0.26087293
mini-swe-agent_grok-code-fast-1_at_xai,-0.16103348,0.2982677,-0.37690568,0.1910156,-0.2689696
terminus-2_grok-4-0709_at_xai,-0.4816354,0.32416484,-0.24840814,0.17245193,-0.36502177
openhands_claude-haiku-4-5-20251001_at_anthropic,0.18941297,0.31065187,-0.9419452,0.20680378,-0.37626612
terminus-2_openai/gpt-oss-120b_at_together_ai,0.04543112,0.31083107,-0.8136675,0.19014123,-0.38411817
final_claude-4_5-sonnet_at_anthropic,-0.46603605,0.3386111,-0.32811368,0.18790022,-0.39707488
openhands_gpt-5-mini_at_openai,-0.6964386,0.33744526,-0.14838302,0.17859599,-0.42241082
mini-swe-agent_gemini-2_5-flash_at_gemini,-0.17441025,0.300364,-0.7019393,0.19122425,-0.43817478
openhands_gemini-2_5-pro_at_gemini,-0.14271459,0.30275518,-0.74155325,0.1942935,-0.4421339
terminus-2_gemini-2_5-flash_at_gemini,0.2822205,0.30725238,-1.194634,0.21022691,-0.45620674
terminus-2_gpt-5-mini_at_openai,-0.54565865,0.33482438,-0.5145407,0.19609039,-0.53009963
openhands_gemini-2_5-flash_at_gemini,-0.12969077,0.31623918,-0.9518833,0.1926024,-0.54078704
mini-swe-agent_gpt-5-mini_at_openai,-0.56380993,0.34002563,-0.5589175,0.1896151,-0.5613637
gemini-cli_gemini-2_5-flash_at_gemini,-0.03309744,0.3075355,-1.1506788,0.21397026,-0.59188807
terminus-2_grok-code-fast-1_at_xai,-0.3604505,0.33831918,-0.9333358,0.20185012,-0.64689314
codex_gpt-5-nano_at_openai,-0.15784141,0.3018121,-1.273387,0.20325743,-0.7156142
mini-swe-agent_openai/gpt-oss-120b_at_together_ai,-0.13276315,0.31690913,-1.3998151,0.21002412,-0.7662891
openhands_gpt-5-nano_at_openai,-0.5686487,0.34825352,-1.3473554,0.20779708,-0.95800203
terminus-2_gpt-5-nano_at_openai,-0.70524794,0.38385233,-1.5974176,0.23063609,-1.1513327
mini-swe-agent_gpt-5-nano_at_openai,-0.8774872,0.3830946,-1.4961424,0.23785183,-1.1868148
terminus-2_openai/gpt-oss-20b_at_together_ai,-0.4477646,0.38461253,-2.0697925,0.27442077,-1.2587786
mini-swe-agent_openai/gpt-oss-20b_at_together_ai,-0.36133334,0.37841016,-2.3427138,0.32714647,-1.3520236
