,a1,b1,a1_std,b1_std,a2,b2,a2_std,b2_std,a3,b3,a3_std,b3_std
sparql-university,0.3620532,-0.12290342,0.16296181,0.49708492,1.3548858,0.057379767,0.28678522,0.20083185,1.2156442,-0.10544477,0.26266372,0.23670602
sqlite-db-truncate,0.33407322,-0.13079748,0.16898307,0.5309631,1.0302271,0.15542611,0.26531437,0.2556295,2.0690956,-0.0025794748,0.29421893,0.15733585
sqlite-with-gcov,0.3955413,-0.52295756,0.15219921,0.5170575,0.2751596,-0.13391818,0.25823894,0.57324,1.4206481,-1.2498132,0.23985855,0.27609324
torch-pipeline-parallelism,0.36662376,0.32341826,0.16816136,0.60093,0.67205137,0.7614595,0.27346158,0.46754104,1.8079274,1.7244885,0.29736403,0.29135504
torch-tensor-parallelism,0.37380835,0.16423142,0.16783836,0.5381107,0.7584073,0.67444116,0.25281218,0.41088778,1.4726641,1.3978196,0.25229385,0.26077667
train-fasttext,0.7180505,2.0509765,0.11551914,0.4264344,0.6171718,1.044319,0.22982809,0.48769146,0.054322124,-0.058784556,0.2512755,0.70812166
tune-mjcf,0.32732734,-0.1868191,0.16759887,0.4793181,0.36738297,0.022344565,0.26857007,0.48700187,1.7356664,-0.6216737,0.27040946,0.18711296
video-processing,0.35151666,0.21746674,0.17169747,0.5533632,1.0620422,1.0768001,0.24925703,0.32675615,1.6516988,1.3923342,0.31134123,0.3133086
vulnerable-secret,0.3944651,-0.40967393,0.16084398,0.47852278,0.85958344,-0.4638138,0.2851226,0.35424566,1.664426,-1.1094244,0.27148092,0.24676214
winning-avg-corewars,0.3356591,-0.10128386,0.1557293,0.4889176,1.0592909,0.17730977,0.24453844,0.21396478,1.0001229,-0.057942282,0.24501231,0.2537922
write-compressor,0.35010555,0.042996865,0.15837136,0.510095,1.1047813,0.5471493,0.27550274,0.26859552,1.7951014,0.7215714,0.29084635,0.20319842
